id,word,reading,meaning,sentence,tags
122,嗅ぐ,かぐ,"нюхать, обонять, чуять",匂いを嗅ぐ,Unit 02
123,叩く,たたく,"бить, полотить; критиковать",子供のお尻を叩く,Unit 02
124,殴る,なぐる,"ударять, бить, колотить",教師が生徒を殴って、問題になっている,Unit 02
125,ける,ける,"пинать, бить ногой",ボールを蹴る,Unit 02
126,抱く,だく,"обнимать, держать на руках",子供を両手でしっかりと抱く,Unit 02
127,倒れる,たおれる,"падать, рушиться, терпеть крах, погибнуть",台風で木が倒れた,Unit 02
128,倒す,たおす,"валить, опрокидывать, свергать, убить",花瓶を倒して割ってしまった,Unit 02
129,起きる／起こる,おきる／おこる,"вставать, просыпаться; случаться, происходить",今日は八時に起きた<br>昨日教室でちょっとした事件が起こった,Unit 02
130,起こす,おこす,"поднимать на ноги, будить, основывать",うちの子は朝起こしても、中々起きない,Unit 02
131,尋ねる,たずねる,"спрашивать, разыскивать",交番で景観に市役所までの道を尋ねた,Unit 02
132,呼ぶ,よぶ,"звать, вызывать, называть",名前を呼ばれたら、返事をしてください,Unit 02
133,叫ぶ,さけぶ,кричать,大声で叫んだが、相手は気づかずに行ってしまった,Unit 02
134,黙る,だまる,"молчать, промолчать",先生が質問したが、誰も答えないで黙っている,Unit 02
135,飼う,かう,"кормить, выкармливать, содержать (животных)",何かペットを飼いたいと思っている,Unit 02
136,数える,かぞえる,"считать, подсчитывать",数を数える,Unit 02
137,乾く,かわく,"сохнуть, высыхать",風が強かったので、外に干した洗濯物はすぐに乾いた,Unit 02
138,乾かす,かわかす,"сушить, просушивать",ドライヤーで濡れた髪を乾かした,Unit 02
139,畳む,たたむ,"складывать (одеяло), закрывать, запирать",洗濯物を畳む,Unit 02
140,誘う,さそう,"приглашать, звать",友達を誘って映画を見に行った,Unit 02
141,おごる,おごる,"шиковать, платить за кого-то, угощать",昨日は後輩に焼き肉を奢った,Unit 02
142,預かる,あずかる,"барть на время, принимать на хранение",旅行に行く友達から犬を預かることになった,Unit 02
143,預ける,あずける,"давать на время, сдавать на хранение",銀行にお金を預けると、利子がつく,Unit 02
144,決まる,きまる,"решаться, быть решенным",帰国の日が決まった,Unit 02
145,決める,きめる,"решать, устанавливать, определять",進学か就職か、早く決めたほうがいいですよ,Unit 02
146,写る,うつる,выходить (о снимке),このカメラは暗い所でも良く写る,Unit 02
147,写す,うつす,"снимать копию, переписывать, фотографировать, изображать",写真を写す,Unit 02
148,思い出す,おもいだす,вспоминать,毎年春になると、高校の入学式を思い出します,Unit 02
149,教わる,おそわる,"учиться, обучаться",この料理の作り方は母から教わりました,Unit 02
150,申し込む,もうしこむ,"подавать заявку, предлагать, заказывать, бронировать",パーティーに参加を申し込む,Unit 02
151,断る,ことわる,"отклонять, отказывать, извиняться, просить разрешения",頼まれた仕事を断った,Unit 02
152,見つかる,みつかる,быть обнаруженным,無くなったと思っていた指輪がソファーの下で見つかった,Unit 02
153,見つける,みつける,"находить, обнаружить",無くなったと思っていた指輪をソファーの下で見つけた,Unit 02
154,捕まる,つかまる,"быть схваченным, быть пойманным",犯人が警察に捕まった,Unit 02
155,捕まえる,つかまえる,"схватить, поймать, арестовать",警察が泥棒を捕まえた,Unit 02
156,乗る,のる,"садиться на транспортное средство, ехать на транспортном средстве",毎朝電車に乗って、学校に通っている,Unit 02
157,乗せる,のせる,"сажать пассажиров, подвозить",子供を車に乗せて、学校まで送って行った,Unit 02
158,降りる／下りる,おりる,"спускаться, сходить (вниз); сходить (с транспортного средства), выпадать (об осадках)",電車を降りる,Unit 02
159,降ろす／下ろす,おろす,"опускать, снимать, сгружать; давать сойти, помочь выйти; опустить, спустить",あの銀行の前で降ろしてください,Unit 02
160,直る,なおる,"быть исправленным, выздоравливать",壊れたパソコンが直った,Unit 02
161,直す,なおす,"исправлять, чинить, приводить в порядок; излечивать",壊れた時計を直す,Unit 02
162,治る,なおる,выздоравливать,中々頭痛が治らない,Unit 02
163,治す,なおす,"лечить, излечивать",良く休んで、早く風邪を治してください,Unit 02
164,亡くなる,なくなる,"скончаться, умереть",社長が九十歳で亡くなった,Unit 02
165,亡くす,なくす,терять (кого-то близкого),彼は子供のとき、父親を亡くした,Unit 02
166,生まれる,うまれる,родиться,先月子供が生まれた,Unit 02
167,産む／生む,うむ,"рождать, рожать",妻が先日元気な女の子を産んだ,Unit 02
168,出会う,であう,"встретиться случайно, столкнуться, ходить на свидания; гармонировать",駅で偶然大学時代の友人に出会った,Unit 02
169,訪ねる,たずねる,"заходить, навещать, посещать",友人の家を訪ねた,Unit 02
170,付き合う,つきあう,поддерживать знакомство,隣の家の人と親しく付き合っている,Unit 02
171,効く,きく,быть эффективным,この薬は頭痛に良く効く,Unit 02
172,はやる,はやる,быть в моде; свирепствовать (о болезни),この冬は赤い色が流行っている,Unit 02
173,経つ,たつ,(время) идет,日本へ来てから、十年が経った,Unit 02
174,間に合う,まにあう,"успевать вовремя; годиться, подходить",電車が遅れたが、駅から走って、何とか授業に間に合った,Unit 02
175,間に合わせる,まにあわせる,"справиться с чем-либо, успеть, приготовить к сроку",レポートを、頑張って締め切りに間に合わせた,Unit 02
